AI_TRUST_LEVEL,AI_TRUST_ORDER,AI_FRUSTRATION,IS_ACTUAL_FRUSTRATION,RESPONDENT_COUNT,TRUST_GROUP_RESPONDENT_COUNT,RESPONDENT_SHARE_WITHIN_TRUST,FRUSTRATION_RANK_WITHIN_TRUST
Highly distrust,5,I don’t use AI tools regularly,FALSE,3031,6270,0.4834,
Highly distrust,5,I haven’t encountered any problems,FALSE,56,6270,0.0089,
Highly distrust,5,Debugging AI-generated code is more time-consuming,TRUE,3339,6270,0.5325,1
Highly distrust,5,"AI solutions that are almost right, but not quite",TRUE,3123,6270,0.4981,2
Highly distrust,5,Other,TRUE,1316,6270,0.2099,3
Highly distrust,5,It’s hard to understand how or why the code works,TRUE,1037,6270,0.1654,4
Highly distrust,5,I’ve become less confident in my own problem-solving,TRUE,704,6270,0.1123,5
Highly trust,1,I haven’t encountered any problems,FALSE,189,945,0.2000,
Highly trust,1,I don’t use AI tools regularly,FALSE,88,945,0.0931,
Highly trust,1,"AI solutions that are almost right, but not quite",TRUE,551,945,0.5831,1
Highly trust,1,I’ve become less confident in my own problem-solving,TRUE,258,945,0.2730,2
Highly trust,1,Debugging AI-generated code is more time-consuming,TRUE,253,945,0.2677,3
Highly trust,1,It’s hard to understand how or why the code works,TRUE,174,945,0.1841,4
Highly trust,1,Other,TRUE,69,945,0.0730,5
Neither trust nor distrust,3,I don’t use AI tools regularly,FALSE,1197,6626,0.1807,
Neither trust nor distrust,3,I haven’t encountered any problems,FALSE,313,6626,0.0472,
Neither trust nor distrust,3,"AI solutions that are almost right, but not quite",TRUE,4507,6626,0.6802,1
Neither trust nor distrust,3,Debugging AI-generated code is more time-consuming,TRUE,2805,6626,0.4233,2
Neither trust nor distrust,3,I’ve become less confident in my own problem-solving,TRUE,1390,6626,0.2098,3
Neither trust nor distrust,3,It’s hard to understand how or why the code works,TRUE,1004,6626,0.1515,4
Neither trust nor distrust,3,Other,TRUE,591,6626,0.0892,5
Somewhat distrust,4,I don’t use AI tools regularly,FALSE,2289,8304,0.2757,
Somewhat distrust,4,I haven’t encountered any problems,FALSE,97,8304,0.0117,
Somewhat distrust,4,"AI solutions that are almost right, but not quite",TRUE,5709,8304,0.6875,1
Somewhat distrust,4,Debugging AI-generated code is more time-consuming,TRUE,4322,8304,0.5205,2
Somewhat distrust,4,I’ve become less confident in my own problem-solving,TRUE,1513,8304,0.1822,3
Somewhat distrust,4,It’s hard to understand how or why the code works,TRUE,1386,8304,0.1669,4
Somewhat distrust,4,Other,TRUE,1033,8304,0.1244,5
Somewhat trust,2,I don’t use AI tools regularly,FALSE,776,9261,0.0838,
Somewhat trust,2,I haven’t encountered any problems,FALSE,581,9261,0.0627,
Somewhat trust,2,"AI solutions that are almost right, but not quite",TRUE,6881,9261,0.7430,1
Somewhat trust,2,Debugging AI-generated code is more time-consuming,TRUE,3515,9261,0.3795,2
Somewhat trust,2,I’ve become less confident in my own problem-solving,TRUE,2438,9261,0.2633,3
Somewhat trust,2,It’s hard to understand how or why the code works,TRUE,1527,9261,0.1649,4
Somewhat trust,2,Other,TRUE,641,9261,0.0692,5
