AI_TRUST_LEVEL,AI_TRUST_ORDER,AI_TASK,AI_TASK_STATUS,AI_TASK_STATUS_ORDER,RESPONDENT_COUNT,TRUST_GROUP_RESPONDENT_COUNT,TRUST_TASK_RESPONDENT_COUNT,RESPONDENT_SHARE_WITHIN_TRUST,RESPONDENT_SHARE_WITHIN_TRUST_TASK
Somewhat trust,2,Project planning,Currently mostly AI,1,554,9140,8636,0.0606,0.0642
Somewhat trust,2,Generating content or synthetic data,Currently mostly AI,1,1734,9140,8623,0.1897,0.2011
Somewhat trust,2,Search for answers,Currently mostly AI,1,2983,9140,8879,0.3264,0.336
Somewhat distrust,4,Project planning,Currently mostly AI,1,111,8133,7880,0.0136,0.0141
Highly trust,1,Deployment and monitoring,Currently mostly AI,1,211,946,863,0.223,0.2445
Somewhat trust,2,Documenting code,Currently mostly AI,1,1610,9140,8752,0.1761,0.184
Somewhat trust,2,Writing code,Currently partially AI,2,4965,9140,8961,0.5432,0.5541
Somewhat distrust,4,Other,Currently mostly AI,1,52,8133,936,0.0064,0.0556
Neither trust nor distrust,3,Generating content or synthetic data,Currently mostly AI,1,939,6490,6183,0.1447,0.1519
Highly trust,1,Search for answers,Currently mostly AI,1,540,946,886,0.5708,0.6095
Neither trust nor distrust,3,Learning about a codebase,Currently partially AI,2,1691,6490,6272,0.2606,0.2696
Highly distrust,5,Generating content or synthetic data,Currently mostly AI,1,286,6246,6146,0.0458,0.0465
Somewhat trust,2,Deployment and monitoring,Currently mostly AI,1,310,9140,8603,0.0339,0.036
Somewhat trust,2,Project planning,Currently partially AI,2,1632,9140,8636,0.1786,0.189
Somewhat distrust,4,Generating content or synthetic data,Currently partially AI,2,1473,8133,7862,0.1811,0.1874
Somewhat distrust,4,Project planning,Currently partially AI,2,704,8133,7880,0.0866,0.0893
Somewhat distrust,4,Search for answers,Currently partially AI,2,3410,8133,7999,0.4193,0.4263
Somewhat trust,2,Testing code,Currently partially AI,2,2347,9140,8767,0.2568,0.2677
Neither trust nor distrust,3,Generating content or synthetic data,Currently partially AI,2,1438,6490,6183,0.2216,0.2326
Neither trust nor distrust,3,Search for answers,Plan to partially use AI,4,1141,6490,6348,0.1758,0.1797
Highly trust,1,Creating or maintaining documentation,Currently partially AI,2,171,946,878,0.1808,0.1948
Neither trust nor distrust,3,Documenting code,Currently partially AI,2,1517,6490,6266,0.2337,0.2421
Somewhat distrust,4,Documenting code,Plan to partially use AI,4,2235,8133,7962,0.2748,0.2807
Somewhat trust,2,Predictive analytics,Plan to partially use AI,4,1873,9140,8402,0.2049,0.2229
Somewhat distrust,4,Debugging or fixing code,Plan to partially use AI,4,2340,8133,7974,0.2877,0.2935
Somewhat trust,2,Learning new concepts or technologies,Plan to partially use AI,4,1548,9140,8800,0.1694,0.1759
Neither trust nor distrust,3,Learning about a codebase,Currently mostly AI,1,472,6490,6272,0.0727,0.0753
Highly trust,1,Testing code,Plan to mostly use AI,3,152,946,872,0.1607,0.1743
Somewhat distrust,4,Writing code,Currently partially AI,2,3031,8133,8027,0.3727,0.3776
Highly distrust,5,Generating content or synthetic data,Currently partially AI,2,662,6246,6146,0.106,0.1077
Somewhat trust,2,Deployment and monitoring,Currently partially AI,2,1074,9140,8603,0.1175,0.1248
Highly trust,1,Learning about a codebase,Currently partially AI,2,223,946,880,0.2357,0.2534
Somewhat distrust,4,Learning about a codebase,Currently partially AI,2,1591,8133,7941,0.1956,0.2004
Somewhat distrust,4,Committing and reviewing code,Plan to mostly use AI,3,353,8133,7914,0.0434,0.0446
Neither trust nor distrust,3,Learning new concepts or technologies,Plan to partially use AI,4,1473,6490,6281,0.227,0.2345
Somewhat trust,2,Debugging or fixing code,Plan to partially use AI,4,1804,9140,8876,0.1974,0.2032
Somewhat distrust,4,Generating content or synthetic data,Plan to mostly use AI,3,956,8133,7862,0.1175,0.1216
Somewhat distrust,4,Writing code,Plan to partially use AI,4,2485,8133,8027,0.3055,0.3096
Neither trust nor distrust,3,Predictive analytics,Plan to partially use AI,4,1406,6490,6043,0.2166,0.2327
Highly distrust,5,Deployment and monitoring,Plan to partially use AI,4,500,6246,6148,0.0801,0.0813
Neither trust nor distrust,3,Deployment and monitoring,Currently mostly AI,1,106,6490,6179,0.0163,0.0172
Neither trust nor distrust,3,Testing code,Plan to mostly use AI,3,857,6490,6277,0.132,0.1365
Somewhat trust,2,Committing and reviewing code,Plan to mostly use AI,3,1004,9140,8700,0.1098,0.1154
Highly trust,1,Debugging or fixing code,Plan to partially use AI,4,95,946,886,0.1004,0.1072
Somewhat distrust,4,Committing and reviewing code,Do not plan to use AI,5,4527,8133,7914,0.5566,0.572
Neither trust nor distrust,3,Testing code,Do not plan to use AI,5,1809,6490,6277,0.2787,0.2882
Highly distrust,5,Project planning,Do not plan to use AI,5,5224,6246,6155,0.8364,0.8487
Neither trust nor distrust,3,Committing and reviewing code,Do not plan to use AI,5,2619,6490,6233,0.4035,0.4202
Somewhat trust,2,Search for answers,Do not plan to use AI,5,290,9140,8879,0.0317,0.0327
Highly distrust,5,Testing code,Currently partially AI,2,522,6246,6181,0.0836,0.0845
Neither trust nor distrust,3,Learning about a codebase,Plan to mostly use AI,3,758,6490,6272,0.1168,0.1209
Somewhat trust,2,Documenting code,Currently partially AI,2,2476,9140,8752,0.2709,0.2829
Somewhat trust,2,Project planning,Plan to partially use AI,4,2049,9140,8636,0.2242,0.2373
Highly trust,1,Generating content or synthetic data,Currently partially AI,2,187,946,871,0.1977,0.2147
Highly trust,1,Writing code,Plan to mostly use AI,3,86,946,906,0.0909,0.0949
Highly trust,1,Learning about a codebase,Plan to partially use AI,4,91,946,880,0.0962,0.1034
Somewhat distrust,4,Predictive analytics,Currently mostly AI,1,122,8133,7695,0.015,0.0159
Highly trust,1,Documenting code,Plan to mostly use AI,3,152,946,891,0.1607,0.1706
Neither trust nor distrust,3,Other,Currently partially AI,2,64,6490,621,0.0099,0.1031
Highly distrust,5,Deployment and monitoring,Currently mostly AI,1,19,6246,6148,0.003,0.0031
Somewhat trust,2,Writing code,Currently mostly AI,1,1006,9140,8961,0.1101,0.1123
